,Open,High,Low,Close,Volume,8_EMA,200_SMA
2000-05-15,85.25,87.0,85.13,86.25,2238600,85.4657721053247,
2000-05-16,86.5,87.44,86.25,87.31,2582700,85.87560052636366,
2000-05-17,87.06,87.69,85.63,87.06,1753600,86.13880040939395,
2000-05-18,86.88,89.0,86.81,88.5,3044400,86.66351142952863,
2000-05-19,88.81,89.63,86.88,88.75,3537000,87.12717555630005,
2000-05-22,89.63,89.69,85.19,86.88,3067400,87.07224765490004,
2000-05-23,87.88,88.19,86.13,87.0,2805500,87.0561926204778,
2000-05-24,87.69,90.0,87.25,89.94,4107200,87.69703870481607,
2000-05-25,89.25,89.5,87.69,89.31,2264000,88.05547454819028,
2000-05-26,89.5,89.81,87.88,88.13,1547600,88.07203575970355,
2000-05-30,88.19,88.94,87.13,88.94,2107200,88.26491670199165,
2000-05-31,89.19,89.5,88.25,89.5,2195600,88.53937965710462,
2000-06-01,89.25,89.5,87.25,87.69,2615900,88.35062862219247,
2000-06-02,87.5,87.5,82.5,84.0,4675700,87.38382226170526,
2000-06-05,83.5,85.25,82.56,84.0,2658300,86.6318617591041,
2000-06-06,83.5,84.75,83.0,84.13,1598300,86.07589247930319,
2000-06-07,85.06,85.44,83.69,83.69,2049100,85.54569415056915,
2000-06-08,83.69,84.94,82.88,84.88,1842700,85.39776211710934,
2000-06-09,85.0,87.5,84.81,86.13,2052600,85.5604816466406,
2000-06-12,86.75,87.38,84.69,84.77,1899100,85.38481905849824,
2000-06-13,85.75,88.5,85.56,88.0,2698300,85.96597037883195,
2000-06-14,89.38,89.88,88.63,89.75,2745100,86.80686585020263,
2000-06-15,90.0,91.0,89.44,90.63,3984800,87.65645121682427,
2000-06-16,90.06,90.44,89.38,89.56,3671700,88.07946205752998,
2000-06-19,89.75,90.31,89.06,90.19,1782400,88.54847048918998,
2000-06-20,90.38,90.44,88.06,88.56,2178200,88.55103260270332,
2000-06-21,88.75,90.44,88.75,89.88,2554600,88.84635869099147,
2000-06-22,89.75,89.75,88.25,88.56,1994300,88.7827234263267,
2000-06-23,88.81,89.94,88.69,89.75,1919000,88.99767377603187,
2000-06-26,92.38,95.5,92.06,95.5,7892100,90.4426351591359,
2000-06-27,95.31,98.19,95.25,97.94,7392000,92.10871623488347,
2000-06-28,97.0,98.31,96.81,98.08,4391600,93.43566818268715,
2000-06-29,98.0,99.38,97.31,98.56,4303700,94.57440858653445,
2000-06-30,98.0,102.0,96.44,101.9,8043300,96.20231778952679,
2000-07-03,101.3,101.3,99.94,101.1,2385100,97.2906916140764,
2000-07-05,100.8,101.4,99.88,101.0,3652200,98.11498236650387,
2000-07-06,100.0,100.4,99.19,99.69,2894900,98.46498628505856,
2000-07-07,99.5,100.9,99.31,99.75,3249100,98.75054488837888,
2000-07-10,100.8,100.9,99.81,100.2,2173000,99.07264602429468,
2000-07-11,99.38,100.4,99.0,100.2,3390900,99.32316913000697,
2000-07-12,99.25,99.56,98.0,98.06,2835900,99.04246487889431,
2000-07-13,97.5,97.56,95.0,95.25,3825300,98.19969490580668,
2000-07-14,92.75,92.81,91.06,91.81,6288800,96.7797627045163,
2000-07-17,93.0,95.75,92.5,94.34,4401600,96.23759321462379,
2000-07-18,94.44,95.44,94.38,95.0,4142400,95.96257250026295,
2000-07-19,94.88,95.69,92.75,93.19,2682300,95.3464452779823,
2000-07-20,93.25,93.25,91.63,91.88,2969600,94.57612410509734,
2000-07-21,91.88,93.44,91.0,92.25,3808900,94.05920763729793,
2000-07-24,92.31,95.38,92.31,94.45,2838000,94.14605038456506,
2000-07-25,94.56,94.75,92.75,93.5,2936600,94.00248363243949,
2000-07-26,93.5,93.5,90.25,90.25,3675500,93.16859838078626,
2000-07-27,90.75,92.94,90.63,91.86,3289400,92.87779874061154,
2000-07-28,92.88,93.69,92.19,93.66,2418600,93.05162124269786,
2000-07-31,93.69,93.94,92.5,93.06,3165800,93.053483188765,
2000-08-01,92.5,95.0,92.38,94.81,2519900,93.44382025792834,
2000-08-02,94.94,96.69,94.25,96.5,2487100,94.12297131172204,
2000-08-03,96.25,97.38,96.13,97.0,2855300,94.76231102022825,
2000-08-04,96.63,96.69,95.31,96.56,2031300,95.16179746017754,
2000-08-07,97.5,97.5,95.94,96.86,1905600,95.5391758023603,
2000-08-08,96.5,97.5,95.69,96.67,2297500,95.79047006850246,
2000-08-09,96.56,97.19,93.63,94.81,3543100,95.57258783105746,
2000-08-10,95.75,97.88,95.25,97.41,2869200,95.98090164637803,
2000-08-11,97.5,98.88,97.13,97.84,2243800,96.39403461384958,
2000-08-14,98.0,98.38,96.56,97.31,1427800,96.59758247743856,
2000-08-15,96.75,97.31,95.81,96.09,1646000,96.4847863713411,88.4867
2000-08-16,96.88,98.19,96.75,97.94,1610000,96.80816717770975,88.4509
2000-08-17,98.0,98.13,96.56,97.0,2360500,96.85079669377424,88.4234
2000-08-18,97.0,97.25,95.31,96.42,2738400,96.75506409515775,88.384
2000-08-21,97.0,97.75,96.5,97.0,1833100,96.80949429623381,88.3425
2000-08-22,97.19,97.88,96.81,97.75,1609200,97.0184955637374,88.30375
2000-08-23,97.69,97.94,95.75,96.94,1717100,97.00105210512909,88.26645
2000-08-24,95.75,96.56,95.5,96.25,1651300,96.83415163732263,88.2297
2000-08-25,95.63,96.19,94.81,95.44,1850000,96.52434016236205,88.19189999999999
2000-08-28,94.5,96.56,94.19,94.75,2580400,96.13004234850382,88.14665
2000-08-29,94.0,94.19,92.81,93.0,1950700,95.43447738216963,88.09264999999999
2000-08-30,92.0,92.81,91.25,91.25,2098800,94.50459351946527,88.03139999999999
2000-08-31,93.13,93.88,91.63,91.96,2351200,93.93912829291743,87.9607
2000-09-01,92.5,92.94,91.88,92.63,1520200,93.64821089449134,87.89585
2000-09-05,92.63,93.44,91.31,93.25,2649100,93.55971958460438,87.84009999999998
2000-09-06,94.0,94.0,93.06,93.25,2807200,93.49089301024785,87.78035
2000-09-07,93.31,93.88,92.63,93.44,1319200,93.47958345241499,87.72104999999999
2000-09-08,93.0,94.5,93.0,94.46,1904200,93.69745379632276,87.67334999999999
2000-09-11,94.69,95.44,94.69,95.01,2047500,93.98913073047326,87.62439999999998
2000-09-12,96.13,96.64,95.38,96.63,1958700,94.57599056814587,87.59154999999998
2000-09-13,96.63,97.81,96.56,97.63,2447100,95.25465933078011,87.5542
